,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
91,,Denied,H-1B,INDIA,RTP,P.R. Administrator,IBM CORPORATION,355766.0,NORTH CAROLINA,Bachelor's,UNIVERSITY OF PUNE,BUSINESS ADMINISTRATION,ILLINOIS,2,"Computer Software Engineers, Systems Software",101000.0
92,Berry Appleman & Leiden LLP,Denied,H-1B,INDIA,REDMOND,Attorney,MICROSOFT CORPORATION,91000.0,WASHINGTON,Master's,PUNJABI  UNIVERSITY,BUSINESS ADMINISTRATION (INFORMATION TECHNOLOGY),WASHINGTON,2,Computer Systems Analysts,82000.0
93,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,UKRAINE,NEW YORK,Global Head of HR,"MOORE CAPITAL MANAGEMENT, LP",400.0,NEW YORK,Doctorate,DUKE UNIVERSITY,ECONOMICS,NEW JERSEY,3,Financial Analysts,135000.0
94,"The Chugh Firm, APC",Denied,H-1B,INDIA,NEW YORK,Head of Human Resources (US),MPHASIS CORPORATION,950.0,NEW YORK,Bachelor's,BANGALORE UNIVERSITY,COMPUTER SCIENCE & ENGINEERING,TENNESSEE,1,"Computer Software Engineers, Applications",63815.0
95,"Law Office of Maritza Diaz, PC",Denied,H-1B,UGANDA,NEW YORK,"Senior Director, Human Resources",PALLADIA INC,538.0,NEW YORK,Master's,ST. JOHN UNIVERSITY,REHABILITATION COUNSELING,NEW YORK,2,Rehabilitation Counselors,10591.36
96,"Perlman & Associates, PLLC",Denied,H-1B,CHINA,NEW YORK,Editor-in-Chief,THE CHINA PRESS,50.0,NEW YORK,Bachelor's,SHANGHAI INTERNATIONAL STUDIES UNIVERSITY,ENGLISH LITERATURE,NEW YORK,1,Reporters and Correspondents,6198.4
97,"Graves & Graves, P.C.",Denied,H-1B,NIGERIA,HOUSTON,"General Manager, Administration","GEORGE STEVENS RESOURCES COMPANY, INC.",7.0,TEXAS,Bachelor's,"THE UNIVERSITY OF TULSA, OKLAHOMA",BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING,TEXAS,2,Engineering Managers,105373.0
98,"Wasserman, Mancini & Chang, P.C.",Denied,H-1B,INDIA,ANNAPOLIS,Admin/HR Support Specialist,"STARRY ASSOCIATES, INCORPORATED",30.0,MARYLAND,Master's,BHARATHIDASAN UNIVERSITY,COMPUTER SCIENCE,MARYLAND,3,Computer Systems Analysts,88000.0
99,"Lichtman, Trister & Ross, PLLC",Denied,H-1B,CHINA,CHARLOTTESVILLE,Owner,HROK L.L.C.,1.0,VIRGINIA,Master's,NATIONAL COLLEGE OF BUSINESS AND TECHNOLOGY,BUSINESS ADMINISTRATION,VIRGINIA,4,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",50000.0
100,Schoener & Kascavage Pc,Denied,H-1B,INDIA,GREENSBORO,Associate General Counsel,"VOLVO GROUP NORTH AMERICA, INC.",3000.0,NORTH CAROLINA,Master's,UNIVERSITY OF DETROIT MERCY,MECHANICAL ENGINEERING,NORTH CAROLINA,4,Mechanical Engineers,81765.0
101,"BBI Law Group, P.C.",Denied,H-1B,INDIA,GAITHERSBURG,PRESIDENT,"ADVANCED INFORMATION SYSTEM, INC.",14.0,MARYLAND,Bachelor's,OSMANIA UNIVERSITY,COMPUTER SCIENCE,VIRGINIA,4,Computer Systems Analysts,104291.0
102,Pappas and Lenzo LLP,Certified,H-1B,INDIA,BEDFORD,HR Manager,INTERACTIVE DATA CORPORATION,250.0,MASSACHUSETTS,Master's,UNIVERSITY OF BRIDGEPORT,ELECTRICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",112750.0
103,Stern Elkind Curray & Alterman LLP,Certified,H-1B,INDIA,BROOMFIELD,"Director, Human Resources","WEBROOT SOFTWARE, INC.",300.0,COLORADO,Bachelor's,VISVESWARAIAH TECHNOLOGICAL UNIVERSITY,COMPUTER SCIENCE & ENGINEERING,CALIFORNIA,2,"Computer Software Engineers, Applications",89253.0
104,"MAIONA & MAIONA, PC",Certified,H-1B,INDIA,JOHNSTON,Human Resources Manager,FACTORY MUTUAL INSURANCE COMPANY,4500.0,RHODE ISLAND,Master's,BANGALORE UNIVERSITY,COMPUTER APPLICATIONS (COMPUTER SCIENCE),MASSACHUSETTS,3,Database Administrators,86000.0
105,Potomac Law Group,Denied,H-1B,SOUTH KOREA,ANNANDALE,President,KOREA MONITOR INC,17.0,VIRGINIA,Master's,SEJONG UNIVERSITY,BUSINESS ADMINISTRATION,VIRGINIA,2,Marketing Managers,97115.0
106,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,INDIA,MT. VERNON,HR Administrator,SABIC INNOVATIVE PLASTICS,10300.0,INDIANA,Doctorate,UNIVERSITY OF HOUSTON,CHEMICAL ENGINEERING,INDIANA,4,Industrial Engineers,88500.0
107,SIDLEY AUSTIN LLP,Denied,H-1B,BRAZIL,CHICAGO,EXECUTIVE DIRECTOR AND ASSISTANT GENERAL COUNSEL,JP MORGAN CHASE & CO.,200000.0,ILLINOIS,Bachelor's,UNIVERSITY OF PENNSYLVANIA,ECONOMICS,NEW YORK,2,"Securities, Commodities, and Financial Services Sales Agents",90000.0
108,"Yu, South & Associates, PLLC",Denied,H-1B,MEXICO,HOUSTON,Director of Elementary Personnel,GALENA PARK INDEPENDENT SCHOOL DISTRICT,3000.0,TEXAS,Bachelor's,UNIVERSIDAD REGIOMONTANA,BUSINESS ADMINISTRATION,TEXAS,1,"Elementary School Teachers, Except Special Education",48599.0
109,,Denied,H-1B,INDIA,CHANTILLY,president,GLOBAL COMPUTER PRODUCTS INC,15.0,VIRGINIA,Master's,OSMANIA UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,4,Computer and Information Systems Managers,152194.0
110,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,63.0,CONNECTICUT,Bachelor's,UNIVERSITY OF GREENWICH,INFORMATION SYSTEMS,MINNESOTA,1,Computer Systems Analysts,65000.0
111,"MusilloUnkenholt, LLC",Denied,H-1B,INDIA,CHESTERFIELD,Administrative Director,"TETRASOFT, INC.",44.0,MISSOURI,Bachelor's,KARNATAKA UNIVERSITY,MECHANICAL ENGINEERING,MISSOURI,2,"Computer Software Engineers, Applications",68120.0
112,"Law Offices of Shamala J. Bhat, P.C.",Denied,H-1B,INDIA,INDIANAPOLIS,CIO,BRITE SYSTEMS,16.0,INDIANA,Bachelor's,UNIVERSITY OF MADRAS,ENGINEERING,INDIANA,4,"Computer Software Engineers, Applications",90000.0
113,Hunton & Williams LLP,Denied,H-1B,FRANCE,BRIDGEWATER,"Senior Director, Human Resources",SANOFI-AVENTIS US INC.,16196.0,NEW JERSEY,Doctorate,UNIVERSITY OF SOUTHAMPTON,"CHEMISTY, WITH EMPHASIS IN ORGANIC CHEMISTRY",ARIZONA,3,Biochemists and Biophysicists,90306.0
114,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,GERMANY,HERNDON,"Manager, Global Assignments",VOLKSWAGEN OF AMERICA,2500.0,VIRGINIA,Master's,UNIVERSITY OF ILLINOIS,BUSINESS ADMINISTRATION,VIRGINIA,3,Marketing Managers,128586.0
115,Jackson & Hertogs LLP,Denied,H-1B,CANADA,SAN RAMON,"Manager, Human Resources",SYMYX SOLUTIONS INC. (A SYMYX TECHNOLOGIES CO.),500.0,CALIFORNIA,Doctorate,RUHR UNIVERSITY,COMPUTATIONAL CHEMISTRY,MICHIGAN,2,"Computer Software Engineers, Systems Software",95326.4
116,Berry Appleman & Leiden LLP,Denied,H-1B,CANADA,REDMOND,Attorney,MICROSOFT CORPORATION,91000.0,WASHINGTON,Other,NORTHERN ALBERTA INSTITUTE OF TECHNOLOGY,COMPUTER INFORMATION SYSTEMS,ARIZONA,1,Computer and Information Systems Managers,133488.0
117,"Nong, Dua & Patel LLC",Certified,H-1B,INDIA,GLEN ALLEN,Director,LUCID TECHNOLOGIES INC.,8.0,VIRGINIA,Master's,ST. JOSEPH'S UNIVERSITY,COMPUTER - DECISION & SYSTEM SCIENCES,VIRGINIA,4,"Computer Software Engineers, Applications",101000.0
118,"Lolita J. Semidey, Esq.",Denied,H-1B,ECUADOR,SAN JUAN,General Manager,HUNTER DEL CARIBE CORP.,30.0,PUERTO RICO,Bachelor's,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,COMPUTER ENGINEERING,PUERTO RICO,2,Computer and Information Systems Managers,72000.0
119,"Monty Chiu & Associates, P.C.",Denied,H-1B,JAPAN,DORAVILLE,President,SHIRASAGI INTERNATIONAL CORPORATION,11.0,GEORGIA,Bachelor's,YOKOHAMA NATIONAL UNIVERSITY,EDUCATION,GEORGIA,2,"Kindergarten Teachers, Except Special Education",32000.0
120,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,INDIA,STAMFORD,Director/Regional Head of Intl Assignment,"UBS AG,",55000.0,CONNECTICUT,Master's,PACE UNIVERSITY,BUSINESS ADMINISTRATION (FINANCIAL MANAGEMENT/INVESTMENT MANAGEMENT),CONNECTICUT,1,"Treasurers, Controllers, and Chief Financial Officers",64834.0
121,"Perlman & Associates, PLLC",Denied,H-1B,CHINA,NEW YORK,President,SINOVISION INC.,40.0,NEW YORK,Master's,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",COMMUNICATION AND INFORMATION STUDIES,NEW YORK,2,Reporters and Correspondents,9755.2
122,Kuck Immigation Partners LLC,Denied,H-1B,TURKEY,SOMERSET,Director of Business Development & HR,EVEREST PRODUCTION CORPORATION,45.0,NEW JERSEY,Master's,STRAYER UNIVERSITY,BUSINESS ADMINISTRATION,NEW JERSEY,2,Producers,8648.64
123,"MUSILLOUNKENHOLT, LLC",Denied,H-1B,TAIWAN,CHEVERLY,"VIE PRESIDENT, HUMAN RESOURCES",DIMENSIONS HEALTH CORPORATION,2200.0,MARYLAND,Master's,TOWSON STATE UNIVERSITY,SPEECH LANGUAGE PATHOLOGY,MARYLAND,3,Speech-Language Pathologists,10882.56
124,,Denied,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,290.0,CALIFORNIA,Bachelor's,MKSSS CUMMINS COLLEGE OF ENGINEERING FOR WOMEN,ENGINEERING,CALIFORNIA,1,"Computer Software Engineers, Applications",65228.8
125,Whiteman Osterman & Hanna LLP,Denied,H-1B,PERU,LITTLE ROCK,Superintendent,LISA ACADEMY,72.0,ARKANSAS,Bachelor's,SAN MARTIN DE PORRES UNIVERSITY,EDUCATION/LANGUAGE AND LITERATURE,ARKANSAS,2,"Secondary School Teachers, Except Special and Vocational Education",41713.0
126,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,89.0,CONNECTICUT,Master's,ANDHRA LOYOLA COLLEGE,COMPUTER SCIENCE,MINNESOTA,2,"Computer Software Engineers, Systems Software",71000.0
127,"Smith, White, Sharma & Halpern",Denied,H-1B,INDIA,ATLANTA,Resource Manager,"SOFTPROS, INC.",20.0,GEORGIA,Bachelor's,ANDHRA UNIVERSITY,MATHEMATICS,FLORIDA,1,"Computer Software Engineers, Applications",63274.0
128,"FosterQuan, LLP",Denied,H-1B,MEXICO,HOUSTON,Executive Director of Human Resources,SPRING BRANCH INDEPENDENT SCHOOL DISTRICT,4816.0,TEXAS,Bachelor's,UNIVERSIDAD AUTONOMA DE GUADALAJARA,CHEMICAL ENGINEERING,TEXAS,1,"Elementary School Teachers, Except Special Education",45000.0
129,Winstead PC,Certified,H-1B,INDIA,IRVING,Director,ABEAM CONSULTING (USA) LTD.,72.0,TEXAS,Bachelor's,UNIVERSITY OF MUMBAI,ELECTRONIC ENGINEERING,TEXAS,4,"Software Developers, Systems Software",135000.0
130,BERRY APPLEMAN & LEIDEN LLP.,Denied,H-1B,MEXICO,BASKING RIDGE,Immigration Specialist,VERIZON BUSINESS NETWORK SERVICES INC.,222900.0,NEW JERSEY,Bachelor's,PURCHASE COLLEGE,POLITICAL SCIENCE,NEW YORK,4,First-Line Supervisors/Managers of Office and Administrative Support Workers,69576.0
131,"Pollack, Pollack, Isaac & DeCicco",Denied,H-1B,TURKEY,BROOKLYN,President,VINTAGE FOOD CORPORATION,30.0,NEW YORK,Bachelor's,BOGAZICI UNIVERSITY,ECONOMICS,NEW YORK,3,"Treasurers, Controllers, and Chief Financial Officers",154211.2
132,Fel Tabangay Law Offices,Denied,H-1B,PHILIPPINES,PRESIDIO,District Superintendent,PRESIDIO INDEPENDENT SCHOOL DISTRICT,276.0,TEXAS,Bachelor's,PHILIPPINE NORMAL UNIVERSITY,ELEMENTARY EDUCATION,TEXAS,1,"Elementary School Teachers, Except Special Education",35885.96
133,Lamboley Law Firm,Denied,H-1B,AUSTRALIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,89.0,CONNECTICUT,Master's,EDITH COWAN UNIVERSITY,INFORMATION TECHNOLOGY,VIRGINIA,2,"Computer Software Engineers, Systems Software",71000.0
134,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,TKM COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,RHODE ISLAND,2,Computer Systems Analysts,79310.0
135,Simmons & Ungar LLP,Denied,H-1B,UNITED STATES OF AMERICA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,ANAND ENGINEERING COLLEGE,COMPUTER SCIENCE & ENGINEERING,NORTH CAROLINA,2,Computer Systems Analysts,79310.0
136,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,INDIA,SAN DIEGO,Senior Immigration Specialist - QUALCOMM HR,"QUALCOMM, INC.",17500.0,CALIFORNIA,Master's,THE UNIVERSITY OF TEXAS AT DALLAS,COMPUTER SCIENCE,CALIFORNIA,2,"Computer Software Engineers, Systems Software",79498.0
137,Fel Tabangay Law Offices,Denied,H-1B,PHILIPPINES,PRESIDIO,District Superintendent,PRESIDIO INDEPENDENT SCHOOL DISTRICT,276.0,TEXAS,Bachelor's,WEST VISAYAS STATE UNIVERSITY,PHYSICAL EDUCATION,TEXAS,1,"Elementary School Teachers, Except Special Education",33135.0
138,Law Office of Tricia Wang,Certified,H-1B,INDIA,FREMONT,President,"E-BASE TECHNOLOGIES, INC",52.0,CALIFORNIA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,ELECTRONICS ENGINEERING,INDIANA,2,Computer Systems Analysts,76877.0
139,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,ASSISTANT DIRECTOR H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Master's,UNIVERSITY OF THE PHILIPPINES IN THE VISAYAS,EDUCATION,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
140,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,Assistant Director H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Bachelor's,PHILIPPINE REHABILITATION INSTITUTE FOUNDATION INC.,PHYSICAL THERAPY,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
141,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,Assistant Director H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Master's,NEW ERA UNIVERSITY,SPECIAL EDUCATION,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
142,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,Assistant Director H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Bachelor's,ATENEO DE ZAMBOANGA,ACCOUNTING,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
143,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,Assistant Director H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Master's,TRINITY COLLEGE OF QUEZON CITY,EDUCATION,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
144,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,ASSISTANT DIRECTOR H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Master's,SAINT JOSEPH'S COLLEGE,SPECIAL EDUCATION,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
145,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,89.0,CONNECTICUT,Master's,R.M.K. ENGINEERING COLLEGE,COMPUTER SCIENCE,FLORIDA,2,"Computer Software Engineers, Systems Software",71000.0
146,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,89.0,CONNECTICUT,Master's,UNIVERSITY OF NORTHERN VIRGINIA,COMPUTER SCIENCE,CALIFORNIA,2,"Computer Software Engineers, Systems Software",70000.0
147,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,89.0,CONNECTICUT,Master's,MADURAI KAMRAJ UNIVERSITY,COMPUTER SCIENCE,NORTH CAROLINA,2,"Computer Software Engineers, Systems Software",71000.0
148,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,Assistant Director H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Bachelor's,UNIVERSITY OF SAN AGUSTIN,ELEMENTARY EDUCATION,VIRGIN ISLANDS,1,"Special Education Teachers, Preschool, Kindergarten, and Elementary School",34000.0
149,"FosterQuan, LLP",Denied,H-1B,MEXICO,HOUSTON,Executive Director of Human Resources,SPRING BRANCH INDEPENDENT SCHOOL DISTRICT,4816.0,TEXAS,Bachelor's,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ELECTRICAL AND MECHANICAL ENGINEERING,TEXAS,1,"Elementary School Teachers, Except Special Education",45000.0
150,"FosterQuan, LLP",Certified,H-1B,MEXICO,HOUSTON,Executive Director of Human Resources,SPRING BRANCH INDEPENDENT SCHOOL DISTRICT,4816.0,TEXAS,Bachelor's,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE OCCIDENTE,AGRICULTURAL ECONOMICS,TEXAS,1,"Elementary School Teachers, Except Special Education",45000.0
151,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,DALLAS,Lead Foreign National Account Manager,"AT&T, INC., AND ALL OF ITS SUBSIDIARIES AND AFFILIATES",256420.0,TEXAS,Master's,UNIVERSITY OF MASSACHUSETTS AT LOWELL,COMPUTER SCIENCE,GEORGIA,2,"Software Developers, Systems Software",97966.0
152,"Rifkin & Fox-Isicoff, P.A.",Denied,H-1B,PHILIPPINES,ST. THOMAS,ASSISTANT DIRECTOR H.R.,VI DEPARTMENT OF EDUCATION,3097.0,VIRGIN ISLANDS,Bachelor's,UNIVERSIDAD SANTA ISABEL,LIBERAL ARTS,VIRGIN ISLANDS,1,"Special Education Teachers, Secondary School",34000.0
153,,Denied,H-1B,INDIA,FREMONT,PRESIDENT,DGN TECHNOLOGIES INC.,310.0,CALIFORNIA,Bachelor's,BHARITYA VIDYA BHAVAN,BUSINESS ADMINISTRATION,CALIFORNIA,1,"Computer Software Engineers, Applications",72758.0
154,"Greenberg Traurig, LLP",Denied,H-1B,TAIWAN,WOONSOCKET,"Manager, Professional and College Relations","CVS RX SERVICES, INC",215000.0,RHODE ISLAND,Doctorate,NOVA SOUTHEASTERN UNIVERSITY,PHARMACY,FLORIDA,1,Pharmacists,23033.92
155,,Denied,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,310.0,CALIFORNIA,Master's,OSMANIA UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,Computer and Information Systems Managers,113090.0
156,"The Khosla Immigration Law Group, P.C.",Certified,H-1B,INDIA,SAN RAMON,HR Manager,TEKFORCE-IT CORPORATION,37.0,CALIFORNIA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,ELECTRONICS AND COMMUNICATION ENGINEERING,CALIFORNIA,1,"Software Developers, Applications",71250.0
157,"The Khosla Immigration Law Group, P.C.",Certified,H-1B,INDIA,SAN RAMON,HR Manager,TEKFORCE-IT CORPORATION,37.0,CALIFORNIA,Master's,THE UNIVERSITY OF HOUSTON,ELECTRICAL ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",89600.0
158,LAW OFFICE OF RAJAGURU NALLIAH INC.,Certified,H-1B,INDIA,BRIDGEWATER,President,ACTIVE ENTERPRISE SOLUTIOSN LLC,4.0,NEW JERSEY,Master's,POLYTECHNIC INSTITUTE OF NEW YORK UNIVERSITY,ENGINEERING,VIRGINIA,2,"Software Developers, Applications",87547.0
159,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Master's,B.M.S COLLEGE OF ENGINEERING,MASTER OF COMPUTER APPLICATIONS,MASSACHUSETTS,4,Computer Systems Analysts,113797.0
160,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,JNTU COLLEGE OF ENGINEERING (AUTONOMOUS),MECHANICAL ENGINEERING,NORTH CAROLINA,2,Computer Systems Analysts,79310.0
161,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,PEOPLE'S EDUCATION SOCIETY INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,VIRGINIA,2,Computer Systems Analysts,79310.0
162,K&L GATES LLP,Denied,H-1B,FRANCE,LOS ANGELES,HEAD OF OPERATIONS & CHIEF TECHNOLOGY OFFICER,CAMDEN ASSET MANAGEMENT L.P.,23.0,CALIFORNIA,Master's,COLUMBIA UNIVERSITY,FINANCIAL ENGINEERING,CALIFORNIA,4,Financial Analysts,114338.0
163,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,R V COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,NORTH CAROLINA,2,Computer Systems Analysts,79310.0
164,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,VIJAYNAGAR ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGINEERING,NEW JERSEY,4,Computer Systems Analysts,113797.0
165,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,"BHARATHIAR UNIVERSITY, PSG COLLEGE OF TECHNOLOGY",MECHANICAL ENGINEERING,CALIFORNIA,2,Computer Systems Analysts,79310.0
166,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,PARSHVANATH COLLEGE OF ENGINEERING,INFORMATION TECHNOLOGY,TEXAS,2,Computer Systems Analysts,79310.0
167,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,"J. J. COLLEGE, PUDUKOTTAI",INFORMATION TECHNOLOGY,VIRGINIA,2,Computer Systems Analysts,79310.0
168,Law Offices of William Chu,Denied,H-1B,CHINA,PLANO,President,NATURAL POLYMER INTERNATIONAL CORPORATION,55.0,TEXAS,Bachelor's,TSINGHUA UNIVERSITY,MECHANICAL AND ELECTRONIC ENGINEERING,TEXAS,1,"Engineers, All Other",59592.0
169,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,63.0,CONNECTICUT,Master's,PUNE UNIVERSITY,COMPUTER MANAGEMENT,MINNESOTA,2,"Computer Software Engineers, Applications",75000.0
170,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Denied,H-1B,INDIA,WOODLAND,Director of Research and Development,THE MORNING STAR COMPANY,306.0,CALIFORNIA,Master's,UNIVERSITY OF CALIFORNIA DAVIS,BIOLOGICAL SYSTEMS ENGINEERING (FOOD PROCESS ENGINEERING),CALIFORNIA,2,Food Scientists and Technologists,65291.0
171,Lamboley Law Firm,Denied,H-1B,INDIA,SOUTH WINDSOR,President,WEBILENT TECHNOLOGY INC.,63.0,CONNECTICUT,Bachelor's,"MADRAS UNIVERSITY, MNM JAIN ENGINEERING COLLEGE",ENGINEERING,VIRGINIA,2,"Computer Software Engineers, Applications",75000.0
172,"Morgan, Lewis & Bockius LLP",Denied,H-1B,INDIA,NEW YORK,Immigration Services Specialist,BRISTOL MYERS SQUIBB COMPANY,28000.0,NEW YORK,Bachelor's,BIRLA INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,NEW JERSEY,4,Computer Systems Analysts,140000.0
173,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Master's,ILLINOIS INSTITUTE OF TECHNOLOGY,CHEMICAL ENGINEERING,VIRGINIA,2,Computer Systems Analysts,79310.0
174,"Azarmehr & Associates, P.C.",Denied,H-1B,MEXICO,ATHENS,Director of Human Resources,ATHENS INDEPENDENT SCHOOL DISTRICT,420.0,TEXAS,Bachelor's,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,ELECTRONICS,TEXAS,2,"Elementary School Teachers, Except Special Education",39107.0
175,Law Office of Meenu Sharma,Denied,H-1B,INDIA,BRIDGEPORT,Managing Member,"HANCOCK PHARMACY II, LLC",10.0,CONNECTICUT,Master's,RAJIV GANDHI UNIVERSITY OF HEALTH SCIENCES,PHARMACY,CONNECTICUT,2,Pharmacists,108500.0
176,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,P.E.S INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,PENNSYLVANIA,2,Computer Systems Analysts,79310.0
177,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,NSS COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,CALIFORNIA,2,Computer Systems Analysts,79310.0
178,Simmons & Ungar LLP,Denied,H-1B,INDIA,PLANO,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000.0,TEXAS,Bachelor's,LAKSHMI NARAIN COLLEGE  OF TECHNOLOGY,ELECTRICAL ENGINEERING,NEW JERSEY,2,Computer Systems Analysts,79310.0
